height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
637886,1788044256.0,,0,0,0,0.000000,0
637887,1788044262.0,6.0,0,0,0,0.000000,0
637888,1788044268.0,6.0,0,0,0,0.000000,0
637889,1788044274.0,6.0,0,0,0,0.000000,0
637890,1788044280.0,6.0,0,0,0,0.000000,0
637891,1788044286.0,6.0,0,0,0,0.000000,0
637892,1788044292.0,6.0,0,0,0,0.000000,0
637893,1788044298.0,6.0,0,0,0,0.000000,0
637894,1788044304.0,6.0,0,0,0,0.000000,0
637895,1788044310.0,6.0,0,0,0,0.000000,0
637896,1788044316.0,6.0,0,0,0,0.000000,0
637897,1788044322.001,6.000999927520752,0,0,0,0.000000,0
637898,1788044328.0,5.999000072479248,0,0,0,0.000000,0
637899,1788044334.0,6.0,0,0,0,0.000000,0
637900,1788044340.001,6.000999927520752,0,0,0,0.000000,0
637901,1788044346.0,5.999000072479248,0,0,0,0.000000,0
637902,1788044352.0,6.0,0,0,0,0.000000,0
637903,1788044358.0,6.0,0,0,0,0.000000,0
637904,1788044364.0,6.0,0,0,0,0.000000,0
637905,1788044370.0,6.0,0,0,0,0.000000,0
637906,1788044376.0,6.0,0,0,0,0.000000,0
637907,1788044382.0,6.0,0,0,0,0.000000,0
637908,1788044388.0,6.0,0,0,0,0.000000,0
637909,1788044394.001,6.000999927520752,0,0,0,0.000000,0
637910,1788044400.0,5.999000072479248,0,0,0,0.000000,0
637911,1788044406.0,6.0,0,0,0,0.000000,0
637912,1788044424.0,18.0,0,0,0,0.000000,0
637913,1788044430.0,6.0,0,0,0,0.000000,0
637914,1788044436.001,6.000999927520752,0,0,0,0.000000,0
637915,1788044442.0,5.999000072479248,0,0,0,0.000000,0
637916,1788044448.0,6.0,0,0,0,0.000000,0
637917,1788044454.0,6.0,0,0,0,0.000000,0
637918,1788044460.0,6.0,0,0,0,0.000000,0
637919,1788044466.0,6.0,0,0,0,0.000000,0
637920,1788044472.0,6.0,0,0,0,0.000000,0
637921,1788044478.001,6.000999927520752,0,0,0,0.000000,0
637922,1788044484.0,5.999000072479248,0,0,0,0.000000,0
637923,1788044490.0,6.0,0,0,0,0.000000,0
637924,1788044496.0,6.0,0,0,0,0.000000,0
637925,1788044502.001,6.000999927520752,0,0,0,0.000000,0
637926,1788044508.0,5.999000072479248,0,0,0,0.000000,0
637927,1788044514.0,6.0,0,0,0,0.000000,0
637928,1788044520.0,6.0,0,0,0,0.000000,0
637929,1788044526.0,6.0,0,0,0,0.000000,0
637930,1788044532.0,6.0,0,0,0,0.000000,0
637931,1788044538.001,6.000999927520752,9,9,33482,0.033482,9
637932,1788044544.0,5.999000072479248,21,21,78178,0.078178,21
637933,1788044550.001,6.000999927520752,8,8,29782,0.029782,8
637934,1788044556.0,5.999000072479248,9,9,33505,0.033505,9
637935,1788044562.0,6.0,3,3,11169,0.011169,3
637936,1788044568.0,6.0,20,20,74430,0.074430,20
637937,1788044574.0,6.0,10,10,37227,0.037227,10
637938,1788044580.001,6.000999927520752,8,8,29780,0.029780,8
637939,1788044586.0,5.999000072479248,5,5,18615,0.018615,5
637940,1788044592.0,6.0,23,23,85604,0.085604,23
637941,1788044598.0,6.0,3,3,11169,0.011169,3
637942,1788044604.0,6.0,12,12,44674,0.044674,12
637943,1788044610.0,6.0,2,2,7446,0.007446,2
637944,1788044616.0,6.0,22,22,81877,0.081877,22
637945,1788044622.0,6.0,5,5,18614,0.018614,5
637946,1788044628.001,6.000999927520752,11,11,40951,0.040951,11
637947,1788044634.001,6.0,1,1,3722,0.003722,1
637948,1788044640.0,5.999000072479248,11,11,41146,0.041146,11
637949,1788044646.0,6.0,18,18,67011,0.067011,18
637950,1788044652.0,6.0,9,9,33505,0.033505,9
637951,1788044658.0,6.0,7,7,26052,0.026052,7
637952,1788044664.0,6.0,11,11,41375,0.041375,11
637953,1788044670.001,6.000999927520752,18,18,67003,0.067003,18
637954,1788044676.0,5.999000072479248,5,5,18614,0.018614,5
637955,1788044682.0,6.0,8,8,29782,0.029782,8
637956,1788044688.0,6.0,14,14,52106,0.052106,14
637957,1788044694.0,6.0,14,14,52108,0.052108,14
637958,1788044700.0,6.0,10,10,37228,0.037228,10
637959,1788044706.0,6.0,4,4,14892,0.014892,4
637960,1788044712.0,6.0,12,12,44664,0.044664,12
637961,1788044718.0,6.0,18,18,67212,0.067212,18
637962,1788044724.0,6.0,8,8,29783,0.029783,8
637963,1788044730.0,6.0,6,6,22336,0.022336,6
637964,1788044736.0,6.0,16,16,59546,0.059546,16
637965,1788044742.0,6.0,16,16,59779,0.059779,16
637966,1788044748.0,6.0,3,3,11169,0.011169,3
637967,1788044754.0,6.0,11,11,40947,0.040947,11
637968,1788044760.0,6.0,21,21,78153,0.078153,21
637969,1788044766.0,6.0,6,6,22335,0.022335,6
637970,1788044772.001,6.000999927520752,11,11,40950,0.040950,11
