height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
633449,1788017634.0,,6,6,22337,0.022337,6
633450,1788017640.0,6.0,0,0,0,0.000000,0
633451,1788017646.0,6.0,0,0,0,0.000000,0
633452,1788017652.001,6.000999927520752,0,0,0,0.000000,0
633453,1788017658.001,6.0,0,0,0,0.000000,0
633454,1788017664.0,5.999000072479248,0,0,0,0.000000,0
633455,1788017670.0,6.0,0,0,0,0.000000,0
633456,1788017676.0,6.0,0,0,0,0.000000,0
633457,1788017682.0,6.0,0,0,0,0.000000,0
633458,1788017688.001,6.000999927520752,0,0,0,0.000000,0
633459,1788017694.0,5.999000072479248,0,0,0,0.000000,0
633460,1788017700.0,6.0,0,0,0,0.000000,0
633461,1788017706.0,6.0,0,0,0,0.000000,0
633462,1788017712.0,6.0,0,0,0,0.000000,0
633463,1788017718.0,6.0,0,0,0,0.000000,0
633464,1788017724.0,6.0,0,0,0,0.000000,0
633465,1788017730.0,6.0,0,0,0,0.000000,0
633466,1788017736.0,6.0,0,0,0,0.000000,0
633467,1788017742.0,6.0,0,0,0,0.000000,0
633468,1788017748.0,6.0,0,0,0,0.000000,0
633469,1788017754.0,6.0,0,0,0,0.000000,0
633470,1788017760.0,6.0,0,0,0,0.000000,0
633471,1788017766.0,6.0,0,0,0,0.000000,0
633472,1788017772.0,6.0,0,0,0,0.000000,0
633473,1788017778.0,6.0,0,0,0,0.000000,0
633474,1788017784.0,6.0,0,0,0,0.000000,0
633475,1788017790.0,6.0,0,0,0,0.000000,0
633476,1788017796.0,6.0,0,0,0,0.000000,0
633477,1788017802.0,6.0,0,0,0,0.000000,0
633478,1788017808.0,6.0,0,0,0,0.000000,0
633479,1788017814.001,6.000999927520752,0,0,0,0.000000,0
633480,1788017820.0,5.999000072479248,0,0,0,0.000000,0
633481,1788017826.0,6.0,0,0,0,0.000000,0
633482,1788017832.0,6.0,0,0,0,0.000000,0
633483,1788017838.001,6.000999927520752,0,0,0,0.000000,0
633484,1788017844.0,5.999000072479248,0,0,0,0.000000,0
