height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
594651,1787784702.0,,0,0,0,0.000000,0
594652,1787784708.0,6.0,0,0,0,0.000000,0
594653,1787784714.0,6.0,0,0,0,0.000000,0
594654,1787784720.0,6.0,0,0,0,0.000000,0
594655,1787784726.001,6.000999927520752,0,0,0,0.000000,0
594656,1787784732.0,5.999000072479248,0,0,0,0.000000,0
594657,1787784738.0,6.0,0,0,0,0.000000,0
594658,1787784744.0,6.0,0,0,0,0.000000,0
594659,1787784750.0,6.0,0,0,0,0.000000,0
594660,1787784756.0,6.0,0,0,0,0.000000,0
594661,1787784762.001,6.000999927520752,0,0,0,0.000000,0
594662,1787784768.001,6.0,0,0,0,0.000000,0
594663,1787784774.0,5.999000072479248,0,0,0,0.000000,0
594664,1787784780.0,6.0,0,0,0,0.000000,0
594665,1787784786.001,6.000999927520752,0,0,0,0.000000,0
594666,1787784792.0,5.999000072479248,0,0,0,0.000000,0
594667,1787784798.0,6.0,0,0,0,0.000000,0
594668,1787784804.0,6.0,0,0,0,0.000000,0
594669,1787784810.001,6.000999927520752,0,0,0,0.000000,0
594670,1787784816.0,5.999000072479248,0,0,0,0.000000,0
594671,1787784822.0,6.0,0,0,0,0.000000,0
594672,1787784828.0,6.0,0,0,0,0.000000,0
594673,1787784834.001,6.000999927520752,0,0,0,0.000000,0
594674,1787784840.0,5.999000072479248,0,0,0,0.000000,0
594675,1787784846.001,6.000999927520752,0,0,0,0.000000,0
594676,1787784852.0,5.999000072479248,0,0,0,0.000000,0
594677,1787784858.0,6.0,0,0,0,0.000000,0
594678,1787784864.001,6.000999927520752,0,0,0,0.000000,0
594679,1787784870.001,6.0,0,0,0,0.000000,0
594680,1787784876.0,5.999000072479248,0,0,0,0.000000,0
594681,1787784882.0,6.0,0,0,0,0.000000,0
594682,1787784888.001,6.000999927520752,0,0,0,0.000000,0
594683,1787784894.0,5.999000072479248,0,0,0,0.000000,0
594684,1787784900.001,6.000999927520752,0,0,0,0.000000,0
594685,1787784906.0,5.999000072479248,0,0,0,0.000000,0
594686,1787784912.0,6.0,0,0,0,0.000000,0
594687,1787784918.0,6.0,0,0,0,0.000000,0
594688,1787784924.0,6.0,0,0,0,0.000000,0
594689,1787784930.001,6.000999927520752,2,2,7446,0.037230,2
594690,1787784936.001,6.0,3,3,11169,0.055845,3
594691,1787784942.0,5.999000072479248,3,3,11169,0.055845,3
594692,1787784948.0,6.0,0,0,0,0.000000,0
594693,1787784954.0,6.0,3,3,11168,0.055840,3
594694,1787784960.0,6.0,3,3,15599,0.077995,3
594695,1787784966.0,6.0,3,3,11169,0.055845,3
594696,1787784972.0,6.0,2,2,7446,0.037230,2
594697,1787784978.0,6.0,2,2,7446,0.037230,2
594698,1787784984.0,6.0,1,1,3723,0.018615,1
594699,1787784990.001,6.000999927520752,1,1,8148,0.040740,1
594700,1787784996.001,6.0,0,0,0,0.000000,0
594701,1787785002.0,5.999000072479248,2,2,7445,0.037225,2
594702,1787785008.0,6.0,0,0,0,0.000000,0
594703,1787785014.0,6.0,0,0,0,0.000000,0
594704,1787785020.0,6.0,2,2,11871,0.059355,2
594705,1787785026.0,6.0,0,0,0,0.000000,0
594706,1787785032.0,6.0,0,0,0,0.000000,0
594707,1787785038.0,6.0,0,0,0,0.000000,0
594708,1787785044.0,6.0,1,1,3723,0.018615,1
594709,1787785050.0,6.0,1,1,8155,0.040775,1
594710,1787785056.0,6.0,0,0,0,0.000000,0
594711,1787785062.0,6.0,1,1,3723,0.018615,1
594712,1787785068.0,6.0,0,0,0,0.000000,0
594713,1787785074.0,6.0,0,0,0,0.000000,0
594714,1787785080.0,6.0,1,1,8149,0.040745,1
594715,1787785086.0,6.0,1,1,3722,0.018610,1
594716,1787785092.001,6.000999927520752,0,0,0,0.000000,0
594717,1787785098.0,5.999000072479248,0,0,0,0.000000,0
594718,1787785104.0,6.0,0,0,0,0.000000,0
594719,1787785110.001,6.000999927520752,2,2,11871,0.059355,2
594720,1787785116.0,5.999000072479248,0,0,0,0.000000,0
594721,1787785122.0,6.0,0,0,0,0.000000,0
594722,1787785128.0,6.0,0,0,0,0.000000,0
594723,1787785134.0,6.0,1,1,3723,0.018615,1
594724,1787785140.001,6.000999927520752,1,1,8148,0.040740,1
594725,1787785146.0,5.999000072479248,0,0,0,0.000000,0
594726,1787785152.0,6.0,1,1,3723,0.018615,1
594727,1787785158.001,6.000999927520752,0,0,0,0.000000,0
594728,1787785164.0,5.999000072479248,1,1,8149,0.040745,1
594729,1787785170.001,6.000999927520752,1,1,3722,0.018610,1
594730,1787785176.0,5.999000072479248,0,0,0,0.000000,0
594731,1787785182.0,6.0,0,0,0,0.000000,0
594732,1787785188.001,6.000999927520752,0,0,0,0.000000,0
594733,1787785194.001,6.0,2,2,11872,0.059360,2
594734,1787785200.0,5.999000072479248,0,0,0,0.000000,0
594735,1787785206.0,6.0,0,0,0,0.000000,0
594736,1787785224.0,18.0,0,0,0,0.000000,0
594737,1787785230.0,6.0,1,1,3723,0.018615,1
594738,1787785236.001,6.000999927520752,1,1,8149,0.040745,1
594739,1787785242.0,5.999000072479248,0,0,0,0.000000,0
594740,1787785248.0,6.0,1,1,3723,0.018615,1
594741,1787785254.0,6.0,0,0,0,0.000000,0
594742,1787785260.001,6.000999927520752,1,1,8149,0.040745,1
594743,1787785266.0,5.999000072479248,1,1,3723,0.018615,1
594744,1787785272.0,6.0,0,0,0,0.000000,0
594745,1787785278.0,6.0,0,0,0,0.000000,0
594746,1787785284.0,6.0,0,0,0,0.000000,0
594747,1787785290.0,6.0,2,2,11872,0.059360,2
594748,1787785296.0,6.0,0,0,0,0.000000,0
594749,1787785302.0,6.0,0,0,0,0.000000,0
594750,1787785308.0,6.0,0,0,0,0.000000,0
594751,1787785314.001,6.000999927520752,1,1,3721,0.018605,1
594752,1787785320.0,5.999000072479248,1,1,8149,0.040745,1
594753,1787785326.0,6.0,0,0,0,0.000000,0
594754,1787785332.0,6.0,1,1,3723,0.018615,1
594755,1787785338.0,6.0,0,0,0,0.000000,0
594756,1787785344.0,6.0,0,0,0,0.000000,0
594757,1787785350.0,6.0,2,2,11872,0.059360,2
594758,1787785356.0,6.0,0,0,0,0.000000,0
594759,1787785362.0,6.0,0,0,0,0.000000,0
594760,1787785368.0,6.0,0,0,0,0.000000,0
594761,1787785374.0,6.0,1,1,3723,0.018615,1
594762,1787785380.0,6.0,1,1,8149,0.040745,1
594763,1787785386.0,6.0,0,0,0,0.000000,0
594764,1787785392.001,6.000999927520752,1,1,3723,0.018615,1
594765,1787785398.0,5.999000072479248,0,0,0,0.000000,0
594766,1787785404.001,6.000999927520752,0,0,0,0.000000,0
594767,1787785410.0,5.999000072479248,2,2,11870,0.059350,2
594768,1787785416.0,6.0,0,0,0,0.000000,0
594769,1787785422.001,6.000999927520752,0,0,0,0.000000,0
594770,1787785428.0,5.999000072479248,0,0,0,0.000000,0
594771,1787785434.0,6.0,1,1,3723,0.018615,1
594772,1787785440.0,6.0,1,1,8149,0.040745,1
594773,1787785446.0,6.0,0,0,0,0.000000,0
594774,1787785452.0,6.0,0,0,0,0.000000,0
594775,1787785458.001,6.000999927520752,1,1,3723,0.018615,1
594776,1787785464.0,5.999000072479248,0,0,0,0.000000,0
594777,1787785470.0,6.0,1,1,8149,0.040745,1
594778,1787785476.0,6.0,1,1,3723,0.018615,1
594779,1787785482.0,6.0,0,0,0,0.000000,0
594780,1787785488.0,6.0,0,0,0,0.000000,0
594781,1787785494.001,6.000999927520752,0,0,0,0.000000,0
594782,1787785500.0,5.999000072479248,2,2,11871,0.059355,2
594783,1787785506.0,6.0,0,0,0,0.000000,0
594784,1787785512.0,6.0,0,0,0,0.000000,0
594785,1787785518.0,6.0,0,0,0,0.000000,0
594786,1787785524.0,6.0,1,1,3723,0.018615,1
594787,1787785530.0,6.0,1,1,8149,0.040745,1
594788,1787785536.0,6.0,0,0,0,0.000000,0
594789,1787785542.0,6.0,0,0,0,0.000000,0
594790,1787785548.0,6.0,1,1,3722,0.018610,1
